2025/10/10 17:17:09 unsupported relationship type: http://schemas.openxmlformats.org/officeDocument/2006/relationships/custom-properties tgt: docProps/custom.xml
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shapetype}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:vml shape}
2025/10/10 17:17:09 skipping unsupported element on CT_Object {urn:schemas-microsoft-com:office:office OLEObject}
